"","gorilla_id","prompt","correct_answer","opt_a","Response","is_correct","pre_post","X","L1","eng_aoa","span_aoa","port_aoa","prolific_id","lextale_score_eng","lextale_score_port","lextale_score_span"
"1",8477468,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma","B",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"2",8477468,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.","opt_b","Ming aventureiros","B",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"3",8477468,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.","opt_a","estudantes estudiosos","A",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"4",8477468,"Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres","A",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"5",8477468,"O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias","B",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"6",8477468,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.","opt_b","super-heróis corajosos","B",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"7",8477468,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes","A",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"8",8477468,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.","opt_a","pais orgulhosos","A",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"9",8477468,"Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.","opt_a","pais afetuosos","A",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"10",8477468,"Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho","B",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"11",8477801,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes","B",0,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"12",8477801,"O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias","B",1,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"13",8477801,"Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho","A",0,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"14",8477801,"Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres","A",1,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"15",8477801,"Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.","opt_a","pais afetuosos","A",1,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"16",8477801,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.","opt_b","super-heróis corajosos","A",0,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"17",8477801,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma","B",1,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"18",8477801,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.","opt_a","pais orgulhosos","B",0,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"19",8477801,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.","opt_a","estudantes estudiosos","A",1,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"20",8477801,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.","opt_b","Ming aventureiros","A",0,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"21",8477809,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.","opt_a","pais orgulhosos","A",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"22",8477809,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.","opt_a","estudantes estudiosos","A",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"23",8477809,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma","B",1,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"24",8477809,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.","opt_b","Ming aventureiros","A",0,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"25",8477809,"Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho","B",1,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"26",8477809,"O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias","B",1,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"27",8477809,"Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.","opt_a","pais afetuosos","A",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"28",8477809,"Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres","A",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"29",8477809,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes","A",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"30",8477809,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.","opt_b","super-heróis corajosos","A",0,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"31",8477895,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma","A",0,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"32",8477895,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.","opt_b","Ming aventureiros","A",0,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"33",8477895,"Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho","A",0,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"34",8477895,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes","A",1,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"35",8477895,"Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.","opt_a","pais afetuosos","B",0,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"36",8477895,"Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres","B",0,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"37",8477895,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.","opt_a","pais orgulhosos","A",1,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
