"","gorilla_id","prompt","correct_answer","opt_b","Response","is_correct","pre_post","X","L1","eng_aoa","span_aoa","port_aoa","prolific_id","lextale_score_eng","lextale_score_port","lextale_score_span"
"1",8477468,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","A",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"2",8477468,"O próprio presidente conversou com a classe.","opt_a","O presidente que já havia falado com a classe.","A",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"3",8477468,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","B",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"4",8477468,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","B",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"5",8477468,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","B",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"6",8477468,"Marta é a pessoa única de quem falei.","opt_b","Não contei a você sobre mais ninguém, além de Marta.","B",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"7",8477468,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","A",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"8",8477468,"Meu amigo velho vem comer conosco","opt_b","Meu amigo não é jovem.","A",0,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"9",8477468,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","A",1,"pre",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"10",8477468,"Minha avó tem duas lâmpadas antigas na sala.","opt_a","Possui dois Lumpears na sala de estar que as relíquias.","A",1,"post",1,"Portuguese",11,12,1,"5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"11",8477801,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","A",1,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"12",8477801,"Minha avó tem duas lâmpadas antigas na sala.","opt_a","Possui dois Lumpears na sala de estar que as relíquias.","B",0,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"13",8477801,"Meu amigo velho vem comer conosco","opt_b","Meu amigo não é jovem.","B",1,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"14",8477801,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","A",1,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"15",8477801,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","A",1,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"16",8477801,"Marta é a pessoa única de quem falei.","opt_b","Não contei a você sobre mais ninguém, além de Marta.","A",0,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"17",8477801,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","A",0,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"18",8477801,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","B",1,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"19",8477801,"O próprio presidente conversou com a classe.","opt_a","O presidente que já havia falado com a classe.","B",0,"pre",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"20",8477801,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","B",1,"post",2,"English",2,3,12,"63e52f8ab3688f45f842114c",65,60,48.3333333333333
"21",8477809,"O próprio presidente conversou com a classe.","opt_a","O presidente que já havia falado com a classe.","A",1,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"22",8477809,"Meu amigo velho vem comer conosco","opt_b","Meu amigo não é jovem.","A",0,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"23",8477809,"Marta é a pessoa única de quem falei.","opt_b","Não contei a você sobre mais ninguém, além de Marta.","B",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"24",8477809,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","B",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"25",8477809,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","A",1,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"26",8477809,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","B",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"27",8477809,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","B",0,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"28",8477809,"Minha avó tem duas lâmpadas antigas na sala.","opt_a","Possui dois Lumpears na sala de estar que as relíquias.","A",1,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"29",8477809,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","A",0,"pre",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"30",8477809,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","B",0,"post",3,"English",0,12,12,"5f4a9363207a7e05019afbff",95,79.1666666666667,75
"31",8477895,"Marta é a pessoa única de quem falei.","opt_b","Não contei a você sobre mais ninguém, além de Marta.","B",1,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"32",8477895,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","A",1,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"33",8477895,"Minha avó tem duas lâmpadas antigas na sala.","opt_a","Possui dois Lumpears na sala de estar que as relíquias.","A",1,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"34",8477895,"Meu amigo velho vem comer conosco","opt_b","Meu amigo não é jovem.","B",1,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"35",8477895,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","B",1,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"36",8477895,"O próprio presidente conversou com a classe.","opt_a","O presidente que já havia falado com a classe.","A",1,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"37",8477895,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","A",0,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"38",8477895,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","A",1,"pre",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"39",8477895,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","A",0,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"40",8477895,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","B",0,"post",4,"English",1,12,12,"6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"41",8477945,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","A",1,"post",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"42",8477945,"O próprio presidente conversou com a classe.","opt_a","O presidente que já havia falado com a classe.","A",1,"pre",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"43",8477945,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","B",1,"post",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"44",8477945,"Minha avó tem duas lâmpadas antigas na sala.","opt_a","Possui dois Lumpears na sala de estar que as relíquias.","B",0,"post",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"45",8477945,"Meu amigo velho vem comer conosco","opt_b","Meu amigo não é jovem.","B",1,"pre",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"46",8477945,"Marta é a pessoa única de quem falei.","opt_b","Não contei a você sobre mais ninguém, além de Marta.","A",0,"post",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"47",8477945,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","B",1,"pre",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"48",8477945,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","A",0,"post",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"49",8477945,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","A",1,"pre",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"50",8477945,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","B",0,"pre",5,"Spanish",1,9,0,"5f98ab718920801c578363ab",77.5,65,40.8333333333333
"51",8477919,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","A",0,"post",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"52",8477919,"Marta é a pessoa única de quem falei.","opt_b","Não contei a você sobre mais ninguém, além de Marta.","A",0,"post",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"53",8477919,"Meu amigo velho vem comer conosco","opt_b","Meu amigo não é jovem.","B",1,"pre",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"54",8477919,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","B",0,"pre",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"55",8477919,"Minha avó tem duas lâmpadas antigas na sala.","opt_a","Possui dois Lumpears na sala de estar que as relíquias.","A",1,"post",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"56",8477919,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","A",1,"pre",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"57",8477919,"O próprio presidente conversou com a classe.","opt_a","O presidente que já havia falado com a classe.","B",0,"pre",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"58",8477919,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","B",1,"post",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"59",8477919,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","B",1,"pre",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"60",8477919,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","B",0,"post",6,"English",0,12,12,"633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"61",8478492,"Marta é a pessoa única de quem falei.","opt_b","Não contei a você sobre mais ninguém, além de Marta.","B",1,"post",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"62",8478492,"O próprio presidente conversou com a classe.","opt_a","O presidente que já havia falado com a classe.","A",1,"pre",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"63",8478492,"Meu amigo velho vem comer conosco","opt_b","Meu amigo não é jovem.","A",0,"pre",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"64",8478492,"Minha avó tem duas lâmpadas antigas na sala.","opt_a","Possui dois Lumpears na sala de estar que as relíquias.","A",1,"post",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"65",8478492,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","A",0,"post",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"66",8478492,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","A",0,"pre",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"67",8478492,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","A",1,"pre",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"68",8478492,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","B",1,"post",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"69",8478492,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","A",1,"post",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"70",8478492,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","A",1,"pre",8,"English",0,0,12,"5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"71",8478501,"Mariela é uma velha amiga de Florence.","opt_a","Mariela é velha.","A",1,"pre",7,"English",0,12,0,"63bed6e176fba857a47fbaff",73.75,56.6666666666667,41.6666666666667
"72",8478501,"As grandes obras são impressionantes.","opt_b","Os trabalhos são ótimos.","A",0,"post",7,"English",0,12,0,"63bed6e176fba857a47fbaff",73.75,56.6666666666667,41.6666666666667
"73",8478501,"A pintura grande é muito cara.","opt_b","A pintura é enorme e custa muito dinheiro","B",1,"post",7,"English",0,12,0,"63bed6e176fba857a47fbaff",73.75,56.6666666666667,41.6666666666667
"74",8478501,"Seus pais falam uma rara língua.","opt_b","Eles falam um idioma que muito poucas pessoas falam.","B",1,"pre",7,"English",0,12,0,"63bed6e176fba857a47fbaff",73.75,56.6666666666667,41.6666666666667
"75",8478501,"Santiago comprou um novo computador.","opt_a","Comprei outro computador.","A",1,"pre",7,"English",0,12,0,"63bed6e176fba857a47fbaff",73.75,56.6666666666667,41.6666666666667
"76",8478501,"Naquela casa, mora um homem sozinho.","opt_a","O homem se sente sozinho.","A",1,"post",7,"English",0,12,0,"63bed6e176fba857a47fbaff",73.75,56.6666666666667,41.6666666666667
