key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,14.252,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,0,8.335,0,0,0,1,1,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,0,5.212,0,1,1,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,1,7.047,0,2,2,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,0,6.084,0,3,3,7,1,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,0,6.133,0,4,4,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,1,4.173,0,5,5,6,1,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,1,7.504,0,6,6,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,1,3.498,0,7,7,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,0,3.134,0,8,8,3,1,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,1,6.555,0,9,9,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,,,,,,,,,,,,space,1.467,,,,,,,,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,,,,,,,,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,,,1,6.666,0,0,0,0,1,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,,,,,,,,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,,,0,7.886,0,1,1,4,1,,
,,5f8825d4938a85280f506a83,001,2022-08-19_20h38.15.449,rothman_exp,2022.2.3,Win32,60.0240096,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,0,8.098,0,2,2,2,1,,
