prompt,opt_a,opt_b,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,cross.started,prompt_collocation.started,choice.started,opt_a_text.started,opt_b_text.started,cross.stopped,choice.keys,choice.rt,text_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,cross_2.started,prompt_interpretation.started,key_resp_3.started,opt_a_text_2.started,opt_b_text_2.started,cross_2.stopped,key_resp_3.keys,key_resp_3.rt,text_3.started,key_resp_4.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,12.448151499964297,12.448151499964297,space,9.222914375015534,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)",super-heróis valentes,valentes super-heróis,opt_b,0,0,0,0,,,,,,,,,21.738073999993503,22.20200491696596,22.20200491696596,22.20200491696596,22.20200491696596,22.252098708995618,1,5.435892333043739,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,0,1,1,4,,,,,,,,,27.668867959000636,28.15179791697301,28.15179791697301,28.15179791697301,28.15179791697301,28.16846670897212,1,0.6100393750239164,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,0,2,2,8,,,,,,,,,28.79916479199892,29.269719125004485,29.269719125004485,29.269719125004485,29.269719125004485,29.30302908399608,1,0.6017995000001974,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,0,3,3,2,,,,,,,,,29.901713958999608,30.386364999983925,30.386364999983925,30.386364999983925,30.386364999983925,30.40330183401238,1,0.4103510830318555,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,0,4,4,9,,,,,,,,,30.81860208400758,31.30234624998411,31.30234624998411,31.30234624998411,31.30234624998411,31.31854237499647,1,0.2755731660290621,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,0,5,5,5,,,,,,,,,31.602390833955724,32.102449833997525,32.102449833997525,32.102449833997525,32.102449833997525,32.102449833997525,1,0.3492255830205977,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,0,6,6,7,,,,,,,,,32.471401916991454,32.96922879200429,32.96922879200429,32.96922879200429,32.96922879200429,32.98642116697738,1,0.46701233298517764,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Esse livro é a edição do ano passado - precisamos do ________,Livro novo,livro novo,opt_b,0,7,7,1,,,,,,,,,33.451787458965555,33.95263154199347,33.95263154199347,33.95263154199347,33.95263154199347,33.95263154199347,1,0.31148187402868643,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,0,8,8,3,,,,,,,,,34.28502725000726,34.7696574999718,34.7696574999718,34.7696574999718,34.7696574999718,34.785910375008825,1,0.3309711250476539,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,0,9,9,6,,,,,,,,,35.118615874962416,35.60249274998205,35.60249274998205,35.60249274998205,35.60249274998205,35.61882012500428,1,0.3169329999946058,,,,,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
,,,,,,,,,,,,,,,,,,,,,,,,35.93539229198359,35.93539229198359,space,3.145015874004457,,,,,,,,,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,,,,,0,0,0,8,,,,,,,,,,,,,,,,,39.11164849996567,39.60260495898547,39.60260495898547,39.60260495898547,39.60260495898547,39.61923675000435,1,0.9562559580081142,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,,,,,0,1,1,4,,,,,,,,,,,,,,,,,40.58774895896204,41.0693823749898,41.0693823749898,41.0693823749898,41.0693823749898,41.102416583977174,1,0.5049081660108641,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,,,,,0,2,2,3,,,,,,,,,,,,,,,,,41.602014208969194,42.08548679196974,42.08548679196974,42.08548679196974,42.08548679196974,42.10218454198912,1,0.44669329101452604,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
El cuadro grande es muy caro.,El cuadro es impresionante y cuesta mucho dinero,El cuadro es enorme y cuesta mucho dinero,opt_b,,,,,0,3,3,0,,,,,,,,,,,,,,,,,42.55231774999993,43.0361122089671,43.0361122089671,43.0361122089671,43.0361122089671,43.05272745899856,1,0.35241741605568677,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,,,,,0,4,4,7,,,,,,,,,,,,,,,,,43.41873620898696,43.9026939169853,43.9026939169853,43.9026939169853,43.9026939169853,43.919255708984565,1,0.3738095420412719,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,,,,,0,5,5,5,,,,,,,,,,,,,,,,,44.30260670901043,44.78602875000797,44.78602875000797,44.78602875000797,44.78602875000797,44.802288291975856,1,0.41652083303779364,,,,001,2022-09-16_14h48.54.283,rothman_exp,2022.2.3,59.891820527162395,
